id	sentiment	tweet
85	1	I support #EileenGu for representing China for the Olympic and she doesn’t deserve to be treated like trash by these racist crey crey trumpets out there 👌
387	0	After the gold from big air and silver from slopestyle,the 18-year-old American born who represents 🇨🇳 #EileenGu,won the #FreestyleSkiing halfpipe #gold medal becoming the first freestyle skier of any gender to ever win three medals at a single #WinterOlympics 🥇🥈🥇 #Beijing2022 https://t.co/EJXTBHI09C
558	rep	@Ellingswo2 @NBCOlympics Her single mother, a successful professional &amp; a part time ski coach paid more taxes to the US than you did, also paid for #EileenGu training all over the world &amp; her private education. They have more than one residents &amp; she earned 50 medals for the US. What have you done 4 US?
435	1	#EileenGu With her GOLD medal in the freestyle skiing halfpipe, Eileen Gu is the first freestyle skier of any gender to win three medals at a single #WinterOlympics. she is my queen 🏂🏂🏂👑👑👑 https://t.co/vtavh43KAk
107	1	Eileen Gu: what food she was eating? #韭菜盒子 #EileenGu #China #TikTok #FreestyleSkiing #Gold #foodie #food #ChineseFood #Chinese #nice #video #sports #Beijing2020 #cool #WinterOlympics2022 #GenZ #fun https://t.co/e3QxNCtJcY
452	0	Japan breaking the fastest internet speed https://t.co/UuUszMZj7B #Japan #5GUltraWideband #japantravelban #nhk_news #BreakingNews #news #NewsUpdate #EileenGu #BREAKING #9News #Guatemala #100DaysOfCode #Petropolis #AFFU23 #Donetsk #Brazil #NordicCombined #Beijing2022WinterOlympics
39	-1	@AdAstraForKS @billmaher @TomCruise @NBA I love #BillMaher ...he speaks the truth and has a lot more balls than #JohnCena. #EileenGu brags about her SAT score but doesn't seem to realize the Chinese don't have the same apps we have in the US...doesn't care about human rights abuses in China, Hong Kong and the Uyghurs. https://t.co/1aNnvvwKpo
193	1	#EileenGu I'm the kind of person who's addicted to adrenaline, I love❤️ feeling nervous and then overcoming it, feeling that rush and that reward, that...😎I think is the hook that initially got me into skiing.⛷️⛷️ #Beijing2022 #Olympics https://t.co/N8RGwOLAoZ
230	-1	Eileen Gu is why I will never watch the Olympics again. #Olympics #EileenGu
480	0	Need help with an essay? Use a professional writing service in: #Algebra #Economics #HealthCare #Onlineclasses #Statistics #Literaturereview #python #UniversityofTexasatAustin #EileenGu #ACLU KINDLY DM https://t.co/UbApgDOS2P
174	1	The stellar performances of its new Olympic stars - from freeski sensation Eileen Gu to snowboard prodigy Su Yiming - captivated fans in the stands and across the country, drawing an outpouring of pride. - @CNN 🎞️Xinhua #EileenGu #SuYiming #WinterOlympics2022 https://t.co/UDhkBqa22l
307	1	The boy has grown up. He is an adult man now. Because yesterday was his 18th birthday . Happy birthday to him. #Suyiming #Beijing2022 #WinterOlympics #EileenGu #GuAiling https://t.co/aIn32XYGOu
508	0	I'll be your Digital Marketing Strategist Services ☑ Schedule Post ☑ Trending Hashtags ☑ Eye-catchy Content Order on Fiverr: https://t.co/bqkMZtgVZz #EileenGu #Coppola #Wordle #CriticalRoleSpoilers #TexasChainsawMassacre #BoycottWalgreens #HorizonForbiddenWest https://t.co/tU24JWGa2B
293	rep	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics https://t.co/gdS2KMlFeo
556	rep	@victorioerwin51 @NBCOlympics Her single mother, a successful professional &amp; a part time ski coach paid more taxes to the US than you did, also paid for #EileenGu training all over the world &amp; her private education. Eileen earned 50 medals for the US. US Made COVID Great Again.
347	0	From left #Silver medal winner Canada's Cassie Sharpe, #Gold medal winner China's #GuAiling and #Bronze medal winner Canada's Rachael Karker celebrate after the women's halfpipe finals at the #WinterOlympics2022 on February 18, 2022.#Beijing2022 #EileenGu #BeijingWinterOlympics https://t.co/AcFZ60KAbM
94	-1	@MSNBC @miketirico #EileenGu proudly waves the #Chinese flag knowing that its regime is waging genocide aganst its own #Uyghur citizens. Her being bought and paid for by #China and representing them in the #Olympics is a real coup for them and a slap against the #US. https://t.co/PrkwWzT2Np
178	-1	Another weaponized immigrant deployed to push US Imperial Propaganda that countries outside US are nothing but sourceland to serve up raw materials to be shaped into Muricans at The End of History. Any challenge to that narrative like #EileenGu, must be neutralized https://t.co/sD65ZhkNSm
162	rep	@NumbChunks I hope #EileenGu uses this opportunity to call attention to the human rights abuses in China, Tibet, Hong Kong and the Uyghurs. China used Uyghurs to light the Olympic torch in an attempt to gaslight everyone just like China is now using Eileen. #cryabit https://t.co/i269pQZYeq
386	0	enjoy the night🌛 #Mandarin #Vietnam #Carrie #special #EileenGu #mfer #bnb链 #Fintech https://t.co/BEcZUbkngi
448	0	People are saying #EileenGu is disloyal to the nation who raised her and provided her with an opportunity to be in the #Olympics. What rankles these people the most is not only that she is competing for China, but that she is doing so as a person with a white American father. 1/6
186	-1	#EileenGu Do you know in China a Panda is worth more than a woman? You represented #China and participated in this very disgusting @Olympics! I hope one day you will realize that all those medals and$$$ are FULL OF BLOOD! From many innocent children🙏🙏🙏 https://t.co/Nb37CB6u2N
315	rep	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics https://t.co/k6padEBPiP
555	rep	@anchiwagner @NBCOlympics Her single mother, a successful professional &amp; a part time ski coach paid more taxes to the US than you did, also paid for #EileenGu training all over the world &amp; her private education. Eileen earned 50 medals for the US. What have you done 4 the US?
431	1	On Feb. 18, #EileenGu performed brilliantly and won the gold medal in #Ladies' Halfpipe of Freestyle Skiing race with absolute advantages. With two gold medals and one silver, she drew a successful conclusion to her first #Winter Olympics journey. https://t.co/9IF8Xad8lX
412	rep	@lani_kaui #eileengu is a traitor and a sell out and should be booed every day of her life if she returns to America.
509	0	#EileenGu attracts attention for eating Garlic Chives Pasty while waiting her score. How can Chinese turn any events into food feast? For this and more, tune in for the live coverage on the Closing Ceremony of #Beijing2022WinterOlympics. 👉https://t.co/Kdn6SIr6Mh https://t.co/HobGy9duj7
273	-1	Quote Me : About Damn Time #BillMaher torches #LeBronJames, #JohnCena, #EileenGu for 'kowtowing' to #China https://t.co/gEvWthLdpp #FoxNews
136	-1	@nytimes #usa could have got 28 medals and in top 3, if the likes of #EileenGu could be grateful enough to fight for the country! Challenge is same in #Canada
253	rep	@EileenGuCPCNo1 That gold medal will mean nothing unless #EileenGu uses her platform to call attention to the human rights abuses in China and Hong Kong. China's using Eileen to give the middle finger to the nation that gave her the freedom and opportunity to win. High on herself. https://t.co/UB7B1BTgwA
582	0	#guangzhou #englishnewsdiscussion #event #zhujiangnewtown #englishevent #englishlearning #China #EileenGu Welcome to join us at 3:00-5:00 PM (CST) on Feb. 19, 2022 in Zhujiang New Town of Guangzhou, China, for a news discussion event. Contact Wan Chan via Wechat 19854960614 . https://t.co/IZlwt6WMHf
459	1	#EileenGu making history winning 3 medals, 2 gold 1 silver in #BEIJING2022 but all I want is the panda hat she's wearing. https://t.co/k4As8p22kn
111	rep	@johnhawkinsrwn #EileenGu #CCP #China. Eileen brags about her SAT score but isn't smart enough to realize that due to censorship it's illegal for Chinese to use VPN. And she's a MAGA supporter even though trump incited racist attacks against Asians by claiming they brought Kungflu to the US. https://t.co/aRndcE7hXX
278	-1	If @eileengu is all up in the Chinese now, why doesn't she live there?
36	-1	@shuidashui @NikkiHaley @NikkiHaley are u blame EileenGu??? U just witch!!!!!
391	0	BEIJING 2022/Friday Review &amp; Preview: IOC’s Bach disturbed by @Beijing2022 @Olympics #Valieva incident; #EileenGu wins second Freestyle gold; world indoor record 3:30.60 for Jakob #Ingebrigtsen! https://t.co/219rOUXdbw https://t.co/jlMWGHh5HQ
185	0	Netizens felt second hand embarrasement when #ZhangYixing asked #EileenGu if she had #BingDwenDwen
525	rep	I'll do B2B Lead Generation for you Order on Fiverr https://t.co/iC0sJI9qZ4 Services: ☑ WEB Market Research ☑ Email &amp; Business Leads #EileenGu #Coppola #Wordle #CriticalRoleSpoilers #TexasChainsawMassacre #ImWithHillary #BoycottWalgreens #HorizonForbiddenWest https://t.co/4YhaxE8G8H
441	1	Happy ending！🥇🥇🥈#EileenGu https://t.co/jeMD7Cy4Ir
43	rep	@KALONGTUNG1 Pandas Uyghers and #EileenGu being used by China to gaslight everyone and give the middle finger to the US. Her gold will mean nothing unless she uses her platform to call attention to the human rights abuses in China and Hong Kong. https://t.co/DvaeFcrG2S
547	0	We’re in the home stretch of the Winter Olympics in Beijing. Updates on #Curling, #EileenGu, and where #TeamUSA stands with medals on @news10nbc 📺
88	-1	@mrsbarday @NBCSports @miketirico @nbc @peacockTV It would have been nice to hear from #EileenGu and ask her to explain her $elling out to China. Representing to young women? Puleeze. There are young women here in the US, too. #Olympics2022
419	-1	#EileenGu, the #defector from the #USA #OlympicTeam to the #Communist #China Team, has won her 3rd medal (2 #Gold ) at the #BeijingOlympics2022 (#GenocideGames). In order to #compete for #China, she was required by them to denounce any #citizenship #rights in #America. #Traitor!
587	1	Warmest congratulations to #EileenGu on capturing her second #Gold #BEIJING2022 https://t.co/2TJBbrYoRJ
477	1	Way to Go #EileenGu! #Beijing2022WinterOlympics 2 #Gold 1 Silver. A role model who will inspire future generations of #women in #skiing and #diplomacy https://t.co/4RqY1vfmkD
403	0	#Olympics2022 #EileenGu gold in halfpipe freestyle ski
471	1	#Eileen_Gu #EileenGu held it together despite scary crashes from her competitors, Arctic-like weather making landings trickier (+scarier!) than skiing down K2 or waterskiing Cape Horn in winter!! #Congrats@Canada’s @CassieSharpe #RachelKarker 🥇🥈🥉&amp;ALL COMPETITORS! #BEIJING2022 https://t.co/t1H5ntXm98
265	0	On #Taiwan Global News, discussed #CarrieLam #林鄭月娥 delays #HongKong CE election &amp; does #XiJinPing #习近平 want #LeungChunying #梁振英 to return, @POTUS #IndoPacific strategy, #India trade deficit w/#China, #EileenGu @Beijing2022 @Olympics citizenship https://t.co/ZChgmaEe6W https://t.co/qpkvVvlV8o
245	-1	Gu-less is clueless. How is it possible Gu went to an expensive private SF high school, accepted to Stanford n doesn’t even know China’s internet is censored. Ignorance is bliss for some, educate yourself, ur test scores are a reflection of America’s failed education. #EileenGu
324	0	@hkfp sound like the fact tbat #EileenGu flew back to U.S. to study &amp; enjoy her citizenship ??@_@
576	0	Eileen Gu and mascot Bing Dwen Dwen trademark applications refused https://t.co/LDBQoMu41x #Trademark #China #EileenGu #Bingdundun #Bingdwendwen #OlympicGames #IntellectualProperty #IPR https://t.co/JOs7u6c5HS
422	-1	Eileen Gu is an opportunist pure and simple. If she believes in competiting for China so strongly, she should move there. Don’t hold your breath. #EileenGu #Eileen_Gu https://t.co/bPWKxqU5Kx
91	-1	@eileen_gu_ Chinese Commie Sellout #Traitor #EileenGu
592	1	Awwww…. Granny’s lucky-charm panda cap! 🥰 Way to go, #eileengu !!! 🐼 ⛷🥇#beijing2022 https://t.co/zT4jPkW8EF
96	-1	@Mont_Jiang Commie lover #Sellout #ChineseSellout #Traitor #EileenGu
521	0	#Beijing2020 #EileenGu An article about a year ago about her frightening experience in San Francisco #USA when she was 17 with her Grandmother. https://t.co/KOeNBain6i
172	1	@Reuters Congratulations to #EileenGu
233	0	@STEELHEARTBAND Did you know that #EverybodyLovesEileen is the official anthem of #BEIJING2022? #EileenGu
549	rep	@dqpcivilenginee @NBCOlympics Her single mother, a successful professional &amp; a part time ski coach paid more taxes to the US than you did, also paid for #EileenGu training all over the world &amp; her private education. Eileen earned 50 medals for the US. What have you done 4 US? Go file and pay taxes.
518	0	I will promote your YouTube Channel organically Order on Fiverr: https://t.co/UJjIVRvVpI Services: ☑ Increase Views, Audiences, Subscribers ☑ Promote Channel Organically #EileenGu #Coppola #BoycottWalgreens #Wordle #CriticalRoleSpoilers #TexasChainsawMassacre #ImWithHillary https://t.co/LVGUPeLYZZ
517	0	The Chinese American #EileenGu aka #GuAiling #谷爱凌 has won her 3rd medal at the #Beijing2022WinterOlympics for #China #Gold at #BigAir #Silver at #slopestyle and now another #Gold in the #halfpipe A #FREESKIER icon! https://t.co/JaKbE9FnmW
3	-1	@EpochTimesChina I love @BillMaher because unlike state run Chinese propaganda, he speaks the truth. Bill has more balls than @JohnCena, who grovels for China along with #EileenGu who should be alarming folks as to the human rights abuses in China, Hong Kong and the Uyghurs. Do the right thing.
123	1	😆😆 Big party！🎉🎉🎉#EileenGu ONE WORLD #OlympicGames https://t.co/pOkPt1SJPb
474	0	#GuAiling’s success does not need to be over-analyzed, but to some extent, her success belongs to both China and the U.S. #EileenGu #Beijing2022 #WinterOlympics https://t.co/hyEBNXZVIB
125	1	@Cian_Ci Will #EileenGu join 😘
40	0	Part three: Here is a list of 10 popular athletes in Beijing 2022 #WinterOlympics. #Beijing2022 #Milan #jessicatalks #EileenGu #YuzuruHanyu #WuDajing https://t.co/lqi7Agbtsl
450	1	First Freestyle Skier From #China To Win 3 Medals At A Single Game! Eileen Gu Skid To Gold In The Women’s Free Ski Halfpipe, #Olympics #EileenGu 🥇🥈 #Beijing #WinterOlympics #Stereogoddess https://t.co/cT1dvkEMdF
144	-1	E.G. PHONE HOME: With the #Olympics2022 wrapping up, beautiful Chinese puppet Miss #GoldenPubics #eileengu is unaware her return trip to America is not a sure thing. Papers, please! https://t.co/e3M88kB8CP
63	1	well, to be fair, one of my colleagues was an Olympic figure skater in her first career. when she aged out of that, she went into medicine and now she's a bomb surgeon. #EileenGu https://t.co/ZBSzy47NPu
204	0	Has #EileenGu given up her US passport, now that she is “Chinese”? Or is she simply free-riding for the sponsorship? Has she formally moved to China?
398	0	#EileenGu should stay in China and fly her mother in too. She’s definitely not safe if she returns to the US.
301	-1	@badgyalari_ @paintbranch1398 @USATODAY I wish she would feel Chinese and go to school there. But guess she is feeling Chinese universities aren’t good enough for her. She wants Chinese money and US freedom. #traitor #EileenGu
80	-1	@thomaskaine5 Also disappointed in #EileenGu clearly capable of making the US team but choosing to represent China. She may feel as much chinese as american but if she grew up in China i dont think she would feel the same way as a true female citizen of china. #DrivenByEndorsements
308	-1	This is what peaceful struggle gets you in #China Take notes, #EileenGu https://t.co/dv4gQ8EG9t
458	0	Pls check out https://t.co/Ks4jg6D0O2 #Jennie #CristianoRonaldo #EileenGu #FridayMorning #FridayMotivation #GoodFriday #FridayVibes #OpeningDay #TodayisFriday #MEETDAY #Yeat #emailmarketing #Leadgeneration #leads #b2d #web #Database #linkedin #Fiverr #Sales #business #writer https://t.co/B6rUTrIrlJ
171	1	#EileenGu makes hiatory https://t.co/08bXZlTO55
584	0	Gu wins women's free ski halfpipe, her second gold for China at Beijing 2022 #FreestyleSkiing #China #GuAiling #EileenGu 🥇🥈🥇 #Beijing2022 #Olympics https://t.co/h7Y0slxwCz
120	rep	@TobaYozo @Olympics @FISfreestyle #EileenGu #CCP #China. Eileen brags about her SAT score but isn't smart enough to realize that due to censorship it's illegal for Chinese to use VPN. And she's a MAGA supporter even though trump incited racist attacks against Asians by claiming they brought Kungflu to the US. https://t.co/DtyxQf4mAc
145	-1	@MenSuen #EileenGu's a trump supporter even though Trump instigated violence against Asian Americans with his rhetoric about the Chinese Kungflu. She brags about her SAT score but anyone who supports trump saying covid can be stopped by ingesting bleach can't be that smart. #cryabit
309	rep	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics https://t.co/xvRzzLv37d
472	0	Second gold for #EileenGu!🥇 #Beijing2022WinterOlympics https://t.co/ULMwUfa1fs
218	rep	@EileenGuCPCNo1 I hope #EileenGu uses this opportunity to call attention to the human rights abuses in China, Hong Kong and the Uyghurs. China used Uyghurs to light the Olympic torch in an attempt to gaslight everyone just like China is now using Eileen. https://t.co/Bskh9XIBMA
341	-1	@etyu18520217 @Ayurparibhadra @CarlZha Its not overreaction. She's competing for a massively oppressive regime, of which she'll never be a victim. As IF she has a clue what the average Chinese goes thru. Maybe #EileenGu will take her medals up to the Uyghur concentration camps. Do a little tour. 🤮
13	0	#EileenGu represents every Chinese American's story whose identity is consistently entangled in the whims of U.S-China geopolitics. Great piece from @wongalum https://t.co/ZSBP9Fm6WF
550	1	Eileen is a machine! #EileenGu #BeijingOlympics2022 https://t.co/C8ujUoV0lj
60	1	@Olympics #EileenGu was amazing with 3 medals in single Olympic Games. My favorite at #WinterOlympics
396	-1	#EileenGu Taking all the training from America, taking the Gold for China, you should live there too. Listen to yr conscience
322	-1	#EileenGu is a traitor who went to bat from a country that commits ethnic genocide. Maybe she should go live there. I'm sure Peng Shuai can introduce her to some nice men. #EileenGuisatraitor #UyghurGenocide https://t.co/vxOEyE2QHr
142	1	Obvious that #EileenGu and Su Yiming are really happy😆 Amazing performance at the #BEIJING2022, Team China! https://t.co/KpPHishLFK
540	0	@CNN @CoyWire why are we cheering #EileenGu ? Multiple gold medals did any of that training occur in the USA with American coaches? Beyond winning for China How is she helping women in China? Keep me informed Prove my intuition wrong! Gu’s Mom left her “homeland” for a reason!
98	1	@AP T R A I T O R #EileenGu
482	1	@Olympics @zlj517 Just now, the award ceremony was held, #EileenGu wore the gold medal, once again stood on the highest podium! Congratulations to Gu Ailing, and best wishes to every brave person chasing their dream on snow!#Beijing2022 https://t.co/FE2or6yC1J
456	0	#EileenGu's #VPN comment reportedly censored on Chinese #socialmedia https://t.co/xLEIivIZ9M #China #Cybersecurity #TechJunkieNews #Olympic https://t.co/ABrXnJc1A0
349	1	Real world Super Girl…#EileenGu https://t.co/k7c10Z5Hiq
514	rep	Are you looking for 👀 Mongolian Kinky Curly Hair? 💥 New Hair Collection 💥 Hurry up ❗ Here you can get Kinky Curly Hair ❗ 👉 Order 🛒 https://t.co/kN2FvXzeJb #Beauty #EileenGu #Coppola #Wordle #CriticalRoleSpoilers #TexasChainsawMassacre #ImWithHillary #BoycottWalgreens
31	-1	#EileenGu is a traitor. https://t.co/61Ixgt2fv5
569	0	Gu Ailing wins women's freeski halfpipe gold at the Beijing Olympic Winter Games in the Genting Snow Park in Zhangjiakou, Hebei province on Friday. She is the first freestyle skier to ever win three medals at a single Olympics. #Beijing2022 #EileenGu https://t.co/wZlVyt4Di7
222	-1	@realStanVG You are making so very poor conclusions. #EileenGu should have had to give up her #USA citizenship. She now took allegiance to #China
269	0	Freestyle skier Eileen Gu becomes first Asian American to win three medals in a single Winter Olympics https://t.co/r6bziWEInQ #EileenGu #Beijing2022WinterOlympics
437	1	Congrats! #EileenGu 🥇
409	rep	@wnewspresse @LeHuffPost #eileengu is a traitor and a sell out and should be booed every day of her life if she returns to America.
378	-1	Eileen Gu is intensifying the anxieties of China’s “chicken parents”🤔👇 https://t.co/aXqw2FESXN #EileenGu #Eileen_Gu #EileenGuTraitor #Olympics2022 #Olympics https://t.co/yHSVA2wnDp
285	1	@WSJ Being a special American, she will be the most famous and richest celebritity for CCP in China. Very cool. #EileenGu #WinterOlympics #Beijing2022 #Beijing2022WinterOlympics #Beijing2022WinterOlympics
101	-1	@voguemagazine @KimKardashian #EileenGu brags about her SAT score but isn't smart enough to realize that due to censorship it's illegal for Chinese to use VPN. And she's a MAGA supporter even though trump incited racist attacks against Asians by claiming they brought Kungflu to the US. #StopKowtowingChina https://t.co/KR0eOAQIjp
461	rep	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics
395	0	No matter how bad your heart has been broken, the world doesn’t stop for your grief. The sun comes right back up the next day.🤗🤗🤗 #FreeCodeFridayContest #Eunice #LQvKK #EileenGu #nanon_korapat https://t.co/xFBPGiVHlW
318	-1	#EileenGu You can NEVER justify competing for communist China instead of your home America! I will NEVER support you!
583	0	#EileenGu made her choice! She's a Chinese athlete *NOT* a USA athlete &amp; yet has effectively made herself STATELESS by not admitting whether she officially renounced her USA citizenship &amp; has a Chinese passport. China doesn't allow dual citizenship. What does the IRS call her? https://t.co/Zggi0UOr2x
152	rep	@ConservNewsDly #EileenGu's a trump supporter even though Trump instigated violence against Asian Americans with his rhetoric about the Chinese Kungflu. She brags about her SAT score but anyone who supports trump saying covid can be stopped by ingesting bleach can't be that smart. #cryabit
359	1	Forget about politics, #EileenGu has touched the hearts of all the Canadian sports fans. Her final run in the Big Air has moved a CBC commentator into tears! And, he's a man! :D Thanks to @vitamixer for the footage. https://t.co/CN2XAphZyC
531	rep	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics https://t.co/oDjetmgFZh
30	1	In #CCP China, using VPN to browse information uncensored by #CCP can cost one up to death penalty [shown below by an ad. from #CCP info. bureau]. Yet, #EileenGu has ENCOURAGED every Chinese previously to use VPN like HER. Maybe she loves Chinese to know the truth! Respect 🐧.~ https://t.co/KUJUg911MF
464	rep	@TODAYshow That gold medal will mean nothing unless #EileenGu uses her platform to call attention to the human rights abuses in China and Hong Kong. China's using Eileen to give the middle finger to the nation that gave her the freedom and opportunity to win. Ungrateful and High on herself. https://t.co/mdtBa1zqif
158	rep	@MayorofBouville @laurawags #EileenGu is a trump supporter even though the reason for violence against Asian Americans stems from trump's hostility towards the Chinese CovidKungflu. Anyone who supports trump after he said we should ingest bleach to defeat covid can't be that smart. #cryabit
213	rep	@sirensongs1 @EileenGuCPCNo1 I hope #EileenGu uses this opportunity to call attention to the human rights abuses in China, Hong Kong and the Uyghurs. China used Uyghurs to light the Olympic torch in an attempt to gaslight everyone just like China is now using Eileen. https://t.co/66YuhllSUX
470	1	#EileenGu is just 18-years-old, but she has already etched her name into #Olympic history with her third medal of the Games.https://t.co/C51f3OImYq
183	rep	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics https://t.co/eFNPaUGVdm
376	0	Eileen Gu had to give up something substantial in order to compete in the 2022 Winter Olympics...tune in to find out what it was! https://t.co/nCbjhInBb8 #eileengu #WinterOlympics #rncntrends #Trending
425	1	Congrats to #EileenGu on winning gold in the women's freeski halfpipe, and for her historic achievement of winning three medals at a single #WinterOlympics! 🥇⛷️ Eileen performed well despite the pressure &amp; incessant media attention like a true pro athlete! #ChinaIsNotOurEnemy https://t.co/WlzuYHdFPF
141	1	Most adorable friends!!! #EileenGu #SuYiming https://t.co/fTG4HWbEJS
401	0	🚨 UPDATE: Eileen Gu has won gold medals for China. Meanwhile America got their revenge ☺ #Olympics #Beijing2022 #EileenGu #GuAiling #TeamUSA #TeamChina https://t.co/HA6jtvw8o0
72	-1	#EileenGu - You made your choice for your Country. We allowed you to. Dont come back here and claim to be American- You’re not. Nathan Chen is. Stay there!
137	-1	#China : US-born #EileenGu,18, is setting a high bar for “chicken parents”, and fomenting the anxiety generated by parenting in a country where opportunities for the young are starting to seem limited. She won 2 gold medals at the Games for China…. https://t.co/PzmgtOLeRm
502	0	I will GROW your YouTube Channel organically. Order on Fiverr: https://t.co/qZ0GGuP6uD Services: ☑ Increase Views, Audiences, Subscribers ☑ Promote Channel Organically #EileenGu #Coppola #CriticalRoleSpoilers #ImWithHillary #BoycottWalgreens #Wordle #TexasChainsawMassacre https://t.co/gOUeh9rka8
113	rep	@espn #EileenGu #CCP #China. Eileen brags about her SAT score but isn't smart enough to realize that due to censorship it's illegal for Chinese to use VPN. And she's a MAGA supporter even though trump incited racist attacks against Asians by claiming they brought Kungflu to the US. https://t.co/ZPPv7OV9WV
589	rep	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics Photo by @XHNews https://t.co/F7NgqSTADS
6	rep	@EdwardFCamp007 @EileenGuCPCNo1 Bill Meher is hysterical. But it's sad that #EileenGu looks the other way as China commits atrocities against the Uyghers. Uygher torchbearers and pandas are being used by China at the Olympics to gaslight everyone. And Eileen is being used as well...for the $.
246	-1	and Peng Shuai, and the CCP’s Bureau of Statistics’ laundering and stealing money. #MilesGuo #郭文贵 #XiJinping #Putin #Chainedwoman #EileenGu #PengShuai https://t.co/eDqjMfUvPC
214	rep	@EileenGuCPCNo1 I hope #EileenGu uses this opportunity to call attention to the human rights abuses in China, Hong Kong and the Uyghurs. China used Uyghurs to light the Olympic torch in an attempt to gaslight everyone just like China is now using Eileen. https://t.co/4NGJvJwnMp
487	1	My first 25 years were spent as a British person. My next 25 years were spent learning to be an American. I am lucky to be a white male, and not a talented and famous athlete. All the best to #EileenGu in her struggle to just be herself despite the shitstorm that surrounds her. https://t.co/usFZ7y40Ns
